Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,season
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,
33,김선빈,24 2B,2.46,116,3.06,-0.60,466,458,423,48,139,23,0,9,189,57,5,1,30,5,0,39,13,7,0,0.329,0.380,0.447,0.827,0.156,117.4,2.46,2024
34,김영웅,24 3B,2.37,126,1.66,0.71,509,508,456,65,115,16,3,28,221,79,9,2,45,3,0,155,2,1,4,0.252,0.321,0.485,0.806,0.137,97.8,2.37,2024
35,김휘집,24 SS,2.31,140,1.74,0.57,562,557,488,78,126,24,1,16,200,73,4,3,52,10,1,119,16,4,8,0.258,0.337,0.410,0.747,0.125,95.0,2.31,2024
36,나승엽,24 1B,2.29,121,2.90,-0.61,489,486,407,59,127,35,4,7,191,66,1,0,69,4,1,83,4,2,7,0.312,0.411,0.469,0.880,0.182,129.7,2.29,2024
37,최원준,24 CF,2.24,136,2.50,-0.26,508,501,438,75,128,23,3,9,184,56,21,9,50,8,0,66,6,7,5,0.292,0.371,0.420,0.791,0.147,110.1,2.24,2024
38,양석환,24 1B,2.24,142,1.86,0.37,593,592,533,83,131,25,1,34,260,107,5,3,49,7,1,128,15,1,3,0.246,0.316,0.488,0.804,0.136,104.5,2.24,2024
39,페라자,24 LF,2.20,122,2.34,-0.14,522,518,455,75,125,24,0,24,221,70,7,5,63,2,5,129,6,0,2,0.275,0.364,0.486,0.850,0.158,116.7,2.20,2024
40,강백호,24 DH,2.19,144,2.53,-0.34,614,612,550,92,159,27,0,26,264,96,6,2,59,3,4,127,6,0,2,0.289,0.360,0.480,0.840,0.154,112.3,2.19,2024
Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,2024
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,2024
41,박해민,24 CF,2.10,144,1.50,0.59,553,548,482,72,127,16,6,6,173,56,43,13,46,11,0,101,3,5,9,0.263,0.336,0.359,0.695,0.112,86.1,2.10,2024
42,이주형,24 RF,2.03,115,1.78,0.25,537,536,473,82,126,19,3,13,190,60,6,0,49,14,1,119,4,0,1,0.266,0.352,0.402,0.754,0.133,103.6,2.03,2024
43,전준우,24 DH,1.85,109,2.21,-0.36,483,482,423,57,124,26,2,17,205,82,3,1,49,5,0,84,11,1,5,0.293,0.369,0.485,0.854,0.163,115.7,1.85,2024
44,최지훈,24 CF,1.82,125,2.09,-0.27,543,537,483,89,133,22,7,11,202,49,32,5,50,2,0,71,5,6,2,0.275,0.345,0.418,0.763,0.128,92.2,1.82,2024
45,최형우,24 DH,1.59,116,1.88,-0.29,487,486,425,67,119,23,2,22,212,109,1,1,52,5,4,86,5,0,5,0.280,0.361,0.499,0.860,0.161,119.0,1.59,2024
46,서호철,24 3B,1.44,141,1.32,0.11,567,561,512,68,146,19,3,10,201,61,1,3,30,16,0,101,15,6,3,0.285,0.342,0.393,0.735,0.123,93.3,1.44,2024
47,안치홍,24 DH,1.38,128,1.69,-0.31,533,531,473,64,142,21,0,13,202,66,3,2,49,6,1,70,10,1,4,0.300,0.370,0.427,0.797,0.146,107.9,1.38,2024
48,채은성,24 1B,1.18,124,1.36,-0.18,498,498,436,61,118,24,0,20,202,83,1,1,49,8,1,83,12,0,5,0.271,0.351,0.463,0.814,0.147,108.9,1.18,2024
49,김현수,24 LF,1.09,137,1.52,-0.43,583,582,517,61,152,36,2,8,216,69,6,1,47,9,1,76,10,1,9,0.294,0.357,0.418,0.775,0.136,104.7,1.09,2024
50,박승욱,24 SS,1.05,139,1.68,-0.64,468,463,405,57,106,19,1,7,148,53,4,5,47,10,3,120,7,3,3,0.262,0.351,0.365,0.716,0.121,86.4,1.05,2024
1,송성문,25 3B,8.58,144,7.54,1.04,646,642,574,103,181,37,4,26,304,90,25,2,68,1,5,96,6,0,3,0.315,0.387,0.530,0.917,0.183,164.1,8.58,2025
2,양의지,25 C,6.79,130,6.60,0.20,517,514,454,56,153,27,1,20,242,89,4,2,50,7,6,63,10,0,6,0.337,0.406,0.533,0.939,0.189,162.8,6.79,2025
3,안현민,25 RF,6.77,112,6.63,0.14,482,478,395,72,132,19,4,22,225,80,7,1,75,9,5,72,4,0,3,0.334,0.448,0.570,1.018,0.226,182.7,6.77,2025
4,김주원,25 SS,6.33,144,6.27,0.06,624,620,539,98,156,26,8,15,243,65,44,11,63,16,1,111,8,4,2,0.289,0.379,0.451,0.830,0.162,131.1,6.33,2025
5,디아즈,25 1B,5.80,144,4.81,0.99,628,621,551,93,173,32,0,50,355,158,1,0,60,6,10,100,15,0,11,0.314,0.381,0.644,1.025,0.205,159.7,5.80,2025
6,김성윤,25 RF,5.50,127,5.12,0.38,538,528,456,92,151,29,9,6,216,61,26,7,65,5,0,54,11,10,2,0.331,0.419,0.474,0.893,0.189,146.2,5.50,2025
7,박성한,25 SS,5.28,127,4.74,0.55,538,536,452,73,124,23,2,7,172,48,5,6,79,3,1,93,6,2,2,0.274,0.384,0.381,0.765,0.149,120.8,5.28,2025
8,이재현,25 SS,5.13,139,4.49,0.63,555,544,457,82,116,29,1,16,195,67,6,1,69,11,1,119,8,10,8,0.254,0.360,0.427,0.787,0.146,113.9,5.13,2025
9,박동원,25 C,5.12,139,4.80,0.32,523,518,451,57,114,25,0,22,205,76,4,0,62,2,4,124,10,3,5,0.253,0.342,0.455,0.797,0.142,121.0,5.12,2025
10,노시환,25 3B,4.88,144,4.47,0.41,624,618,539,97,140,28,2,32,268,101,14,5,70,11,10,125,22,0,4,0.260,0.354,0.497,0.851,0.156,129.7,4.88,2025
Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,2025
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,2025
11,오스틴,25 1B,4.86,116,5.11,-0.25,499,494,425,82,133,25,1,31,253,95,3,0,61,2,7,62,11,0,11,0.313,0.393,0.595,0.988,0.199,171.6,4.86,2025
12,박찬호,25 SS,4.56,134,4.25,0.30,595,587,516,75,148,18,2,5,185,42,27,6,62,3,0,69,7,8,6,0.287,0.363,0.359,0.722,0.127,107.3,4.56,2025
13,박해민,25 CF,4.55,144,3.36,1.19,544,522,442,80,122,18,2,3,153,43,49,14,68,8,0,94,7,22,4,0.276,0.379,0.346,0.725,0.136,115.7,4.55,2025
